CODIGO_CALLE,TIPO_VIA,NOMBRE_CALLE,PRIMER_NUM_TRAMO,ULTIMO_NUM_TRAMO,BARRIO,COD_DISTRITO,NOM_DISTRITO
59542,CL,QUASIMODO ,1,27,CORTIJO ALTO,11,TEATINOS-UNIVERSIDAD
59542,CL,QUASIMODO ,2,24,CORTIJO ALTO,11,TEATINOS-UNIVERSIDAD
59556,CL,QUEBRACHO ,1,19,HELIOMAR,8,CHURRIANA 
59556,CL,QUEBRACHO ,2,24,HELIOMAR,8,CHURRIANA 
59584,CL,QUEBRANTATINAJAS,1,57,MAQUEDA ,9,CAMPANILLAS 
59584,CL,QUEBRANTATINAJAS,2,64,MAQUEDA ,9,CAMPANILLAS 
81764,DSMO,QUEMADO EL,1,1,DSMO DM PALMA-PALMILLA,5,PALMA-PALMILLA
81105,DSMO,QUERELLANTAS,1,1,DSMO DM CIUDAD JARDIN ,3,CIUDAD JARDIN 
59640,CL,QUILLA,1,55,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
59640,CL,QUILLA,2,40,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
40222,CL,QUIMERA ,1,7,CORTIJO SAN JULIAN,8,CHURRIANA 
40222,CL,QUIMERA ,2,8,CORTIJO SAN JULIAN,8,CHURRIANA 
59668,CL,QUINA ,1,3,CORTIJO BAZAN ,3,CIUDAD JARDIN 
59668,CL,QUINA ,5,13,HACIENDA LOS MONTES ,3,CIUDAD JARDIN 
59668,CL,QUINA ,2,16,CORTIJO BAZAN ,3,CIUDAD JARDIN 
59690,CL,QUINTA ALEGRE ,1,11,PEDREGALEJO ,2,ESTE
59690,CL,QUINTA ALEGRE ,2,8,PEDREGALEJO ,2,ESTE
59714,CL,QUINTANAR DE LA ORDEN ,1,19,ALEGRIA DE LA HUERTA,3,CIUDAD JARDIN 
59714,CL,QUINTANAR DE LA ORDEN ,2,34,ALEGRIA DE LA HUERTA,3,CIUDAD JARDIN 
59718,CL,QUINTA�ONA,1,7,MAQUEDA ,9,CAMPANILLAS 
59718,CL,QUINTA�ONA,2,8,MAQUEDA ,9,CAMPANILLAS 
80021,DSMO,QUIROSA LA,1,1,DSMO DM ESTE,2,ESTE
80021,DSMO,QUIROSA LA,2,2,DSMO DM ESTE,2,ESTE
59752,CL,QUITAPENAS,1,121,PLAYAS DEL PALO ,2,ESTE
59752,CL,QUITAPENAS,2,2,PLAYAS DEL PALO ,2,ESTE
59766,CL,QUITERIA,1,3,CORTIJO BAZAN ,3,CIUDAD JARDIN 
59766,CL,QUITERIA,2,8,CORTIJO BAZAN ,3,CIUDAD JARDIN 
59780,CL,QUITO ,1,23,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
59780,CL,QUITO ,2,28,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
59783,CL,RABINDRANATH TAGORE ,1,3,SAN JOSE DEL VISO ,6,CRUZ DE HUMILLADERO 
59783,CL,RABINDRANATH TAGORE ,2,6,SAN JOSE DEL VISO ,6,CRUZ DE HUMILLADERO 
59787,CL,RACHMANINOV ,1,1,LA AURORA ,6,CRUZ DE HUMILLADERO 
59787,CL,RACHMANINOV ,2,4,LA AURORA ,6,CRUZ DE HUMILLADERO 
80419,DSMO,RAFAEL ALARCON,1,1,DSMO DM ESTE,2,ESTE
80419,DSMO,RAFAEL ALARCON,2,2,DSMO DM ESTE,2,ESTE
59794,CL,RAFAEL ALBERTI,1,9,CAMINO DE ANTEQUERA ,6,CRUZ DE HUMILLADERO 
59794,CL,RAFAEL ALBERTI,2,6,CAMINO DE ANTEQUERA ,6,CRUZ DE HUMILLADERO 
59801,CL,RAFAEL ANDRADES NAVARRETE ,1,11,PUERTA BLANCA ,7,CARRETERA DE CADIZ
59801,CL,RAFAEL ANDRADES NAVARRETE ,2,12,PUERTA BLANCA ,7,CARRETERA DE CADIZ
59808,CL,RAFAEL CALVO,1,37,CIUDAD JARD�N ,3,CIUDAD JARDIN 
59808,CL,RAFAEL CALVO,2,38,CIUDAD JARD�N ,3,CIUDAD JARDIN 
"21699,CL,""RAFAEL """"EL MORENO"""",1,107,""""EL CUARTON"",8,CHURRIANA ,,,"
"21699,CL,""RAFAEL """"EL MORENO"""",2,44,""""EL CUARTON"",8,CHURRIANA ,,,"
59836,CL,RAFAEL FERNANDEZ,1,45,CIUDAD JARD�N ,3,CIUDAD JARDIN 
59836,CL,RAFAEL FERNANDEZ,2,52,CIUDAD JARD�N ,3,CIUDAD JARDIN 
59850,PL,RAFAEL HEREDIA GONZALEZ ,1,3,PUERTA BLANCA ,7,CARRETERA DE CADIZ
59850,PL,RAFAEL HEREDIA GONZALEZ ,2,2,PUERTA BLANCA ,7,CARRETERA DE CADIZ
82670,JDIN,RAFAEL JIMENEZ PRIETO ,1,1,CARLINDA,4,BAILEN-MIRAFLORES 
82670,JDIN,RAFAEL JIMENEZ PRIETO ,2,2,CARLINDA,4,BAILEN-MIRAFLORES 
59861,CL,RAFAEL JIMENEZ SILES,1,29,LOS PAREDONES ,8,CHURRIANA 
59861,CL,RAFAEL JIMENEZ SILES,2,26,LOS PAREDONES ,8,CHURRIANA 
59864,CL,RAFAEL MARIA DE LABRA ,1,7,MARMOLES,6,CRUZ DE HUMILLADERO 
59864,CL,RAFAEL MARIA DE LABRA ,2,4,MARMOLES,6,CRUZ DE HUMILLADERO 
81554,DSMO,RAFAEL MOYA ,1,1,DISEMINADO DM P DE LA TORRE ,10,PUERTO DE LA TORRE
81554,DSMO,RAFAEL MOYA ,2,2,DISEMINADO DM P DE LA TORRE ,10,PUERTO DE LA TORRE
59883,CL,RAFAEL MUNTANER ,1,13,PARQ EMP SANTA BARBARA,7,CARRETERA DE CADIZ
59883,CL,RAFAEL MUNTANER ,2,6,PARQ EMP SANTA BARBARA,7,CARRETERA DE CADIZ
81699,DSMO,RAFAEL MU�OZ,1,1,DSMO DM PALMA-PALMILLA,5,PALMA-PALMILLA
22204,CL,RAFAEL PEREZ ESTRADA,1,5,LA CALETA ,2,ESTE
22204,CL,RAFAEL PEREZ ESTRADA,2,6,LA CALETA ,1,CENTRO
21496,CL,RAFAEL PUERTAS TRICAS ,1,3,CIUDAD UNIVERSITARIA,11,TEATINOS-UNIVERSIDAD
21496,CL,RAFAEL PUERTAS TRICAS ,2,4,CIUDAD UNIVERSITARIA,11,TEATINOS-UNIVERSIDAD
59892,CL,RAFAEL SALINAS,1,27,LA PRINCESA ,7,CARRETERA DE CADIZ
59892,CL,RAFAEL SALINAS,2,40,LA PRINCESA ,7,CARRETERA DE CADIZ
21477,PQUE,RAFAEL SANTIAGO GARCIA,1,1,LA MOSCA,2,ESTE
21477,PQUE,RAFAEL SANTIAGO GARCIA,2,2,LA MOSCA,2,ESTE
59810,CL,RAFAEL ZABALETA ,1,27,EL BRILLANTE,9,CAMPANILLAS 
59810,CL,RAFAEL ZABALETA ,2,28,EL BRILLANTE,9,CAMPANILLAS 
59920,CL,RAFAELA ,1,45,LA TRINIDAD ,4,BAILEN-MIRAFLORES 
59920,CL,RAFAELA ,2,68,LA TRINIDAD ,4,BAILEN-MIRAFLORES 
59927,CL,RAFAELILLO,1,11,CASTA�ETAS,9,CAMPANILLAS 
59927,CL,RAFAELILLO,2,14,CASTA�ETAS,9,CAMPANILLAS 
59934,CL,RAGUNDA ,1,7,PEDREGALEJO ,2,ESTE
59934,CL,RAGUNDA ,2,6,PEDREGALEJO ,2,ESTE
59948,CL,RAIMUNDO LULIO,1,11,PEDREGALEJO ,2,ESTE
59948,CL,RAIMUNDO LULIO,2,14,PEDREGALEJO ,2,ESTE
59981,CL,RAMAL ATABALERO ,1,5,LOS RAMOS ,10,PUERTO DE LA TORRE
59981,CL,RAMAL ATABALERO ,2,4,LOS RAMOS ,10,PUERTO DE LA TORRE
59991,CL,RAMAL CAMPO DE GOLF ,1,1,VEGA DE ORO ,8,CHURRIANA 
59991,CL,RAMAL CAMPO DE GOLF ,2,24,VEGA DE ORO ,8,CHURRIANA 
60074,CL,RAMAL DE MONTE SANCHA ,1,29,MONTE SANCHA,1,CENTRO
60074,CL,RAMAL DE MONTE SANCHA ,2,32,MONTE SANCHA,1,CENTRO
60144,CL,RAMAL EMILIO HURTADO,1,7,POL IND MI MALAGA ,8,CHURRIANA 
60144,CL,RAMAL EMILIO HURTADO,2,8,POL IND MI MALAGA ,8,CHURRIANA 
60158,CL,RAMAL GENERAL DUQUE DE AVEIRO ,1,5,LOS PASEROS ,8,CHURRIANA 
60158,CL,RAMAL GENERAL DUQUE DE AVEIRO ,2,16,LOS PASEROS ,8,CHURRIANA 
42693,CL,RAMAL LOS MANCERAS,1,49,LOS MANCERAS,9,CAMPANILLAS 
42693,CL,RAMAL LOS MANCERAS,2,16,LOS MANCERAS,9,CAMPANILLAS 
42693,CL,RAMAL LOS MANCERAS,18,22,DSMO DM CAMPANILLAS ,9,CAMPANILLAS 
61957,CL,RAMAL RODEO ,1,15,CERRADO DE CALDERON ,2,ESTE
61957,CL,RAMAL RODEO ,2,8,PARQUE CLAVERO,2,ESTE
60200,CL,RAMBLA,1,9,LOS TILOS ,6,CRUZ DE HUMILLADERO 
